Participant,x,y,x0,y0,CalPoint
7,640,830,846,888,8
7,640,830,842,887,8
7,640,830,847,884,8
7,640,830,848,890,8
7,640,830,849,885,8
7,640,830,842,887,8
7,640,830,847,888,8
7,640,830,835,871,8
7,640,830,831,843,8
7,640,830,826,841,8
7,640,830,828,844,8
7,640,830,826,846,8
7,640,830,832,841,8
7,640,830,832,837,8
7,640,830,835,839,8
7,640,830,832,845,8
7,640,830,823,841,8
7,640,830,820,845,8
7,640,830,828,839,8
7,640,830,830,842,8
7,640,830,831,840,8
7,640,830,833,843,8
7,640,830,831,840,8
7,640,830,828,844,8
7,640,830,829,845,8
7,640,830,828,848,8
7,640,830,828,845,8
7,640,830,822,850,8
7,640,830,827,849,8
7,640,830,829,843,8
7,640,830,824,846,8
7,640,830,829,845,8
7,640,830,830,845,8
7,640,830,831,845,8
7,640,830,829,846,8
7,640,830,826,845,8
7,640,830,827,848,8
7,640,830,825,850,8
7,640,830,824,845,8
7,640,830,824,845,8
7,640,830,829,844,8
7,640,830,820,849,8
7,640,830,817,848,8
7,640,830,825,850,8
7,640,830,827,851,8
7,640,830,824,850,8
7,640,830,828,853,8
7,640,830,816,852,8
7,640,830,815,854,8
7,640,830,820,850,8
7,640,830,819,850,8
7,640,830,825,849,8
7,640,830,826,845,8
7,640,830,824,840,8
7,640,830,821,843,8
7,640,830,818,843,8
7,640,830,820,847,8
7,640,830,820,851,8
7,640,830,824,848,8
7,640,830,824,846,8
7,640,830,824,850,8
7,640,830,816,852,8
7,640,830,822,848,8
7,640,830,822,848,8
7,640,830,823,850,8
7,640,830,825,845,8
7,640,830,823,849,8
7,640,830,827,849,8
7,640,830,826,849,8
7,640,830,825,850,8
7,640,830,824,850,8
7,640,830,826,851,8
7,640,830,834,849,8
7,640,830,833,853,8
7,640,830,831,849,8
7,640,830,830,854,8
7,640,830,836,851,8
7,640,830,830,846,8
7,640,830,830,852,8
7,640,830,831,855,8
7,640,830,831,848,8
7,640,830,831,850,8
7,640,830,830,853,8
7,640,830,829,856,8
7,640,830,831,856,8
7,640,830,823,849,8
7,640,830,819,858,8
7,640,830,820,857,8
7,640,830,819,858,8
7,640,830,825,859,8
7,640,830,824,857,8
7,640,830,820,857,8
7,640,830,820,858,8
7,640,830,824,852,8
7,640,830,825,857,8
7,640,830,828,853,8
7,640,830,832,858,8
7,640,830,831,854,8
7,640,830,838,855,8
7,640,830,832,855,8
7,640,830,821,851,8
7,640,830,826,857,8
7,640,830,830,852,8
7,640,830,834,852,8
7,640,830,834,853,8
7,640,830,826,856,8
7,640,830,830,853,8
7,640,830,831,852,8
7,640,830,832,852,8
7,640,830,832,855,8
7,640,830,835,851,8
7,640,830,836,849,8
7,640,830,833,850,8
7,640,830,855,853,8
7,640,830,899,841,8
7,640,830,905,841,8
7,640,830,903,842,8
7,640,830,902,839,8
7,640,830,907,841,8
7,640,830,911,838,8
7,640,830,904,838,8
7,640,830,897,839,8
7,640,830,902,840,8
7,640,830,898,838,8
7,640,830,899,839,8
7,640,830,905,839,8
7,640,830,904,840,8
7,640,830,905,838,8
7,640,830,906,840,8
7,640,830,910,835,8
7,640,830,903,838,8
7,640,830,906,842,8
7,640,830,905,844,8
7,640,830,903,845,8
7,640,830,902,848,8
7,640,830,906,850,8
7,640,830,904,846,8
7,640,830,911,848,8
7,1030,220,912,842,3
7,1030,220,909,845,3
7,1030,220,905,844,3
